02MATERIAIS                     QUIMICA                       123456788JOAO                          JOAO@FATEC.SP.GOV
02CIVIL                         DESENHO TECNICO               123456789MARIA                         MARIA@FATEC.SP.GOV
03ELETRONICA                    FISICA                        123456787RICARDO                       RICARDO@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786MARCELA                       MARCELA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456785MARCIA                        MARCIA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786TULIA                         TULIA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786GISELE                        GISELE@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786MARCELA                       MARCELA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786ANA                           ANA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786JULIA                         JULIA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786BRUNA                         BRUNA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786JULIANA                       JULIANA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786PATRICIA                      PATRICIA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786JOELMA                        JOELMA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786LUCIA                         LUCIA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786ISABELA                       ISABELA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786LUCIANA                       LUCIANA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786LUCY                          LUCY@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786VANESSA                       VANESSA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786INGRID                        INGRID@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786JESSICA                       JESSICA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786ROSE                          ROSE@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786MARGARIDA                     MARGARIDA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786THAISA                        THAISA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786THAIS                         THAIS@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786NATALIA                       NATALIA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786CRISTIANE                     CRISTIANE@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786AMANDA                        AMANDA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786BRENA                         BRENA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786DIONISIA                      DIONISIA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786TERESA                        TERESA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786ANTONIA                       ANTONIA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786ALCIONE                       ALCIONE@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786APARECIDA                     APARECIDA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786RAIMUNDA                      RAIMUNDA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786VERA                          VERA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786VERONICA                      VERONICA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786MONICA                        MONICA@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786ERIK                          ERIK@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786EMERSON                       EMERSON@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786DIOGO                         DIOGO@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786ALEX                          ALEX@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786GIAN                          GIAN@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786LUCIANO                       LUCIANO@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786GUILHERME                     GUILHERME@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786GREGORIO                      GREGORIO@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786MARCO                         MARCO@FATEC.SP.GOV
02SECRETARIADO                  ADMINISTRACAO                 123456786JONAS                         JONAS@FATEC.SP.GOV
05MECANICA                      PROJETOS                      123456782LEONARDO                      LEONARDO@FATEC.SP.GOV
07REDES                         LOGICA                        123456743YAGO                          YAGO@FATEC.SP.GOV
02SECRETARIADO                  CONTABILIDADE                 123456754MARIANA                       MARIANA@FATEC.SP.GOV
 

     
